Title,Dismiss,Settlement,Certification,Appeal
"Lipman Electronic Engineering, Ltd. - Securities Class   Action",1,0,0,0
"Refco, Inc. - Securities Class   Action",1,1,1,1
"Tag-It Pacific, Inc. - Securities Class   Action",1,1,1,1
Pixar - Securities Class   Action,1,0,0,0
"Motive, Inc. - Securities Class   Action",1,1,0,0
First BanCorp - Securities Class   Action,1,1,0,0
Guidant Corporation - Securities Class   Action,1,0,0,1
Wells Fargo & Company : Wells Fargo Family of Mutual Funds - Securities Class   Action,1,1,1,0
"HCA, Inc. - Securities Class   Action",1,1,1,0
Pegasus Communications Corporation - Securities Class   Action,1,1,0,0
"Blockbuster, Inc. - Securities Class   Action",1,0,0,0
"Helen of Troy, Ltd. - Securities Class   Action",1,1,0,0
Interlink Electronics Inc. - Securities Class   Action,1,1,0,0
Great Wolf Resorts Inc. - Securities Class   Action,1,0,0,0
"HydroFlo, Inc. - Securities Class   Action",1,1,1,0
Universal American Financial Corporation - Securities Class   Action,1,0,0,0
"Capitol Bancorp, Limited - Securities Class   Action",1,0,0,1
Mikohn Gaming Corporation (d/b/a Progressive Gaming International Corporation) - Securities Class   Action,1,1,0,0
"Automatic Data Processing, Inc. (ADP) : Fidelity Advisor Mutual Funds - Securities Class   Action",1,0,0,0
Stone Energy Corporation - Securities Class   Action,1,1,0,1
"Ciphergen Biosystems, Inc. - Securities Class   Action",1,0,0,0
EVCI Career Colleges Holding Corporation - Securities Class   Action,1,1,1,0
"FARO Technologies, Inc. - Securities Class   Action",1,1,0,0
Diebold Inc. - Securities Class   Action,1,0,0,0
Bio-One Corporation - Securities Class   Action,1,1,0,0
Nash Finch Company - Securities Class   Action,1,1,0,0
Northwest Airlines Corporation - Securities Class   Action,1,0,0,0
"SeraCare Life Sciences, Inc. - Securities Class   Action",1,1,0,0
SFBC International Inc. - Securities Class   Action,0,1,0,1
